group,n,n_positive,base_rate,auc,prec_top10pct,flag_rate,tpr,fnr,fpr,dimension
AfricanAmerican,2598,193,0.07428791377983064,0.6347031766720886,0.15057915057915058,0.041185527328714396,0.13989637305699482,0.8601036269430051,0.033264033264033266,Race
Asian,99,5,0.050505050505050504,0.701063829787234,0.1111111111111111,0.010101010101010102,0.0,1.0,0.010638297872340425,Race
Caucasian,10681,1003,0.09390506506881378,0.6797057164938332,0.23689138576779026,0.04933994944293606,0.15054835493519442,0.8494516450648056,0.03885100227319694,Race
Hispanic,314,22,0.07006369426751592,0.6529420921544209,0.12903225806451613,0.044585987261146494,0.13636363636363635,0.8636363636363636,0.03767123287671233,Race
Other,244,14,0.05737704918032787,0.735248447204969,0.125,0.028688524590163935,0.14285714285714285,0.8571428571428571,0.021739130434782608,Race
Unknown,367,22,0.05994550408719346,0.6834650856389988,0.1388888888888889,0.01907356948228883,0.045454545454545456,0.9545454545454546,0.017391304347826087,Race
Female,7620,668,0.08766404199475065,0.6725900184670934,0.21391076115485563,0.04921259842519685,0.15568862275449102,0.844311377245509,0.038981588032220946,Gender
Male,6683,591,0.08843333832111328,0.677153360819382,0.21407185628742514,0.04309441867424809,0.1353637901861252,0.8646362098138748,0.034143138542350626,Gender
[0-10),31,1,0.03225806451612903,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,Age
[10-20),97,8,0.08247422680412371,0.824438202247191,0.3333333333333333,0.030927835051546393,0.25,0.75,0.011235955056179775,Age
[20-30),236,15,0.0635593220338983,0.7271493212669684,0.21739130434782608,0.0211864406779661,0.2,0.8,0.00904977375565611,Age
[30-40),553,40,0.07233273056057866,0.6750730994152045,0.2,0.023508137432188065,0.1,0.9,0.017543859649122806,Age
[40-50),1369,108,0.07888970051132213,0.6806142978823392,0.22058823529411764,0.02410518626734843,0.09259259259259259,0.9074074074074074,0.01823949246629659,Age
[50-60),2456,159,0.06473941368078176,0.6976395243454,0.1836734693877551,0.023615635179153095,0.06918238993710692,0.9308176100628931,0.02046147148454506,Age
[60-70),3251,273,0.08397416179637035,0.678074499934809,0.21846153846153846,0.04183328206705629,0.17582417582417584,0.8241758241758241,0.029550033579583614,Age
[70-80),3599,367,0.10197277021394832,0.6542531935414251,0.22562674094707522,0.07057515976660184,0.1907356948228883,0.8092643051771117,0.05693069306930693,Age
[80-90),2334,249,0.10668380462724936,0.6244517638900928,0.18025751072961374,0.06341045415595545,0.1285140562248996,0.8714859437751004,0.055635491606714625,Age
[90-100),377,39,0.10344827586206896,0.6354119253527536,0.21621621621621623,0.034482758620689655,0.10256410256410256,0.8974358974358975,0.026627218934911243,Age
